"Guid","AccountId","Comments","ContactId","Description","IsEscalated","Origin","ParentId","Priority","Reason","Status","Subject","SuppliedCompany","SuppliedEmail","SuppliedName","SuppliedPhone","TestURLCase__c","Test_picklist__c","Type"
253b6ac2-99f6-47d3-9b9d-36b508bf4e41,26f45527-0f2b-498d-9d6f-74fee3ef82a0,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Medium,"#N/A",New,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
33395c59-8404-437d-9e59-c5682324b9a5,08428e19-6b78-487f-b99b-bfdf5bd3bea5,"#N/A","#N/A","#N/A",false,Email,"#N/A",Medium,"#N/A",New,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
3dc12ab5-be1d-4c92-ba9b-da985be537cf,67515b2a-70d5-4cfd-a390-6f4a0fb0d74e,"#N/A","#N/A","#N/A",false,Email,"#N/A",Medium,"#N/A",New,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
41220e0b-8ab6-4b5b-99a8-a7dbdb7be0f2,41178a39-ee81-4ca9-8f9c-096647eb110d,"#N/A","#N/A","#N/A",false,Email,"#N/A",Medium,"#N/A",New,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
495d315a-483c-4472-9a3c-55067b26d3a0,e40d9f70-30a2-497f-86f0-d49b4730c132,"#N/A","#N/A","#N/A",false,Email,"#N/A",Medium,"#N/A",New,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
61209576-af35-4439-9282-4b84b0c391b1,c81cba5a-486d-4271-811c-71d2bfc62555,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Medium,"#N/A",New,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
769c39e4-84d0-4cd9-81de-2871a66ebee2,d01ee779-6997-4706-aa3a-bb853716ab95,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Medium,"#N/A",New,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
aa1877ee-449f-4d4b-855a-8ac81330e700,a15230ab-576f-4e11-a5dd-15a8f209a8ca,"#N/A","#N/A","#N/A",false,Email,"#N/A",Medium,"#N/A",New,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
d53bbb74-bcbd-49b1-bfa8-ef1355f78575,ac845284-d5f3-4284-a0b5-21095e5ce59b,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Medium,"#N/A",New,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
ea1266c0-1333-4f8b-b712-02fcd0676495,9bd9e106-1d33-4c86-a25c-6a44e43a06c5,"#N/A","#N/A","#N/A",false,Email,"#N/A",Medium,"#N/A",New,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
f2e4af36-c325-4dd3-9009-23494e41b107,4d7f81ec-631e-43eb-a3ee-345159c7b7aa,"#N/A","#N/A","#N/A",false,Email,"#N/A",Medium,"#N/A",New,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
